caseId,taskId
1617118039716538,774fb534-916c-11eb-a631-eae79a711d45
1617118040892781,77449229-916c-11eb-a3a7-36ce350d9719
1617118044172016,7738f92e-916c-11eb-9cdc-7abfa40f797e
1617118046826320,775ef7cc-916c-11eb-9cdc-7abfa40f797e
1617118048702586,77d1417e-916c-11eb-a631-eae79a711d45
1617118053343961,7f7c73ae-916c-11eb-a631-eae79a711d45
1617118052998187,7fb1db6e-916c-11eb-bd91-9280cc24db37
1617118054054807,7fab24dc-916c-11eb-a631-eae79a711d45
1617118059079270,7f9441e1-916c-11eb-a3a7-36ce350d9719
1617118059298946,7f852610-916c-11eb-bd91-9280cc24db37
1617118060816744,84922e37-916c-11eb-a3a7-36ce350d9719
1617118062185387,8484e74f-916c-11eb-bd91-9280cc24db37
1617118065325295,84a62b05-916c-11eb-a631-eae79a711d45
1617118065794839,84a05f32-916c-11eb-9cdc-7abfa40f797e
1617118066304356,847ad537-916c-11eb-a631-eae79a711d45
1617118071332251,8977b0e9-916c-11eb-9cdc-7abfa40f797e
1617118071888344,89896379-916c-11eb-bd91-9280cc24db37
1617118072412078,8969a68d-916c-11eb-a631-eae79a711d45
1617118076259822,8983704a-916c-11eb-a3a7-36ce350d9719
1617118076936676,8990ddab-916c-11eb-a631-eae79a711d45
1617118077746223,89a15807-916c-11eb-9cdc-7abfa40f797e
1617118079339761,89aca2f7-916c-11eb-bd91-9280cc24db37
1617118084164444,92718268-916c-11eb-9cdc-7abfa40f797e
1617118082415822,927f3de8-916c-11eb-bd91-9280cc24db37
1617118084103186,928e5929-916c-11eb-a3a7-36ce350d9719
1617118088108835,92a27dac-916c-11eb-a631-eae79a711d45
1617118089391703,9275531e-916c-11eb-a631-eae79a711d45
1617118091027378,95288cc9-916c-11eb-9cdc-7abfa40f797e
1617118093795162,951049c3-916c-11eb-9cdc-7abfa40f797e
1617118094240812,9501557a-916c-11eb-bd91-9280cc24db37
1617118095820877,95174e88-916c-11eb-bd91-9280cc24db37
1617118096862464,9562d68b-916c-11eb-bd91-9280cc24db37
1617118101335654,9d0ea4ff-916c-11eb-a3a7-36ce350d9719
1617118101695420,9cf96e98-916c-11eb-a631-eae79a711d45
1617118101652678,9d195370-916c-11eb-9cdc-7abfa40f797e
1617118105167525,9d200976-916c-11eb-a631-eae79a711d45
1617118107643077,9d0220f2-916c-11eb-bd91-9280cc24db37
1617118108789911,9d26e710-916c-11eb-bd91-9280cc24db37
1617118111473503,a22e7147-916c-11eb-a3a7-36ce350d9719
1617118112590909,a20ae315-916c-11eb-bd91-9280cc24db37
1617118111708403,a222ff83-916c-11eb-9cdc-7abfa40f797e
1617118114025003,a236ae13-916c-11eb-bd91-9280cc24db37
1617118118384372,a2042ce9-916c-11eb-a3a7-36ce350d9719
1617118118622961,a2140ac4-916c-11eb-a631-eae79a711d45
1617118119846007,a74a4559-916c-11eb-a631-eae79a711d45
1617118122085726,a712bb19-916c-11eb-9cdc-7abfa40f797e
1617118125474711,a71be245-916c-11eb-bd91-9280cc24db37
1617118125874530,a742f253-916c-11eb-bd91-9280cc24db37
1617118128348219,a7318dc7-916c-11eb-9cdc-7abfa40f797e
1617118129317619,a75ce307-916c-11eb-a631-eae79a711d45
