caseId,taskId
1617706098995199,a143c9d3-96c5-11eb-9cdc-7abfa40f797e
1617706105659747,a81f288f-96c5-11eb-a3a7-36ce350d9719
1617706112897942,a82b8472-96c5-11eb-9cdc-7abfa40f797e
1617706120040246,acc6b7ff-96c5-11eb-bd91-9280cc24db37
1617706120040246,acc6b7ff-96c5-11eb-bd91-9280cc24db37
1617706164280088,d2d4ff7f-96c5-11eb-9cdc-7abfa40f797e
1617706175337182,d2c65962-96c5-11eb-a631-eae79a711d45
1617706185478919,d776c20b-96c5-11eb-bd91-9280cc24db37
1617706195190769,dc0f3564-96c5-11eb-a3a7-36ce350d9719
1617706204707900,0ed0119d-96c6-11eb-a3a7-36ce350d9719
1617706204707900,0ed0119d-96c6-11eb-a3a7-36ce350d9719
1617706287764521,136cf1d8-96c6-11eb-bd91-9280cc24db37
1617706298230991,25dca494-96c6-11eb-9cdc-7abfa40f797e
1617706326821332,2a8b5f25-96c6-11eb-9cdc-7abfa40f797e
1617706334023533,2a7d7c69-96c6-11eb-a3a7-36ce350d9719
1617706341612146,2f2a8a1a-96c6-11eb-9cdc-7abfa40f797e
1617706348334637,38e625e5-96c6-11eb-9cdc-7abfa40f797e
1617706354578069,3d86fdfb-96c6-11eb-a631-eae79a711d45
1617706361842201,3d95074c-96c6-11eb-9cdc-7abfa40f797e
1617706369218362,42359171-96c6-11eb-a3a7-36ce350d9719
1617706376413063,4b9fb1b8-96c6-11eb-a631-eae79a711d45
1617706384377839,4bb81c0c-96c6-11eb-a3a7-36ce350d9719
1617706390959877,4df00afd-96c6-11eb-a3a7-36ce350d9719
1617706398253877,575a790b-96c6-11eb-bd91-9280cc24db37
1617706405186581,5754d35e-96c6-11eb-a3a7-36ce350d9719
1617706411992832,59a24637-96c6-11eb-a3a7-36ce350d9719
1617706418698366,6311480a-96c6-11eb-a631-eae79a711d45
1617706424066632,6307ab04-96c6-11eb-bd91-9280cc24db37
1617706431337109,6554a889-96c6-11eb-bd91-9280cc24db37
1617706438683331,6eb6b2bc-96c6-11eb-bd91-9280cc24db37
1617788728607535,06d2281a-9786-11eb-a3a7-36ce350d9719
1617788742566626,103b5e9b-9786-11eb-9cdc-7abfa40f797e
1617788753676348,19979c15-9786-11eb-bd91-9280cc24db37
1617788764835354,1bcfd818-9786-11eb-bd91-9280cc24db37
1617788774361144,2532cca5-9786-11eb-bd91-9280cc24db37
1617788788501933,29d4ddd8-9786-11eb-a3a7-36ce350d9719
